agentid,date,agent,department,answered,resolved,speedofanswer,avgtalkduration,satisfaction,callpurpose
ID0078,02/01/2015 11:47,Dan,Washing Machine,Y,Y,51,0:06:22,2,Billing
ID0079,02/01/2015 11:54,Becky,Washing Machine,Y,Y,58,0:03:28,3,Billing
ID0080,02/01/2015 11:54,Dan,Fridge,Y,Y,121,0:04:47,5,Billing
ID0081,02/01/2015 12:00,Diane,Fridge,Y,Y,118,0:02:06,4,Billing
ID0082,02/01/2015 12:00,Greg,Toaster,Y,Y,52,0:06:56,4,Returns
ID0083,02/01/2015 12:20,Stewart,Fridge,Y,Y,55,0:04:44,3,Broken Product
ID0084,02/01/2015 12:20,Dan,Washing Machine,Y,Y,68,0:05:59,4,Billing
ID0085,02/01/2015 12:41,Becky,Air Conditioner,Y,Y,106,0:04:22,5,Returns
ID0086,02/01/2015 12:41,Martha,Air Conditioner,Y,Y,32,0:04:36,3,Billing
ID0087,02/01/2015 12:44,Jim,Toaster,N,N,,,,Billing
ID0088,02/01/2015 12:44,Martha,Fridge,Y,N,45,0:01:26,4,Broken Product
ID0089,02/01/2015 12:59,Joe,Air Conditioner,Y,Y,119,0:03:32,4,How-to
ID0090,02/01/2015 12:59,Dan,Television,N,N,,,,Billing
ID0091,02/01/2015 13:03,Jim,Washing Machine,Y,Y,46,0:05:41,1,How-to
ID0092,02/01/2015 13:03,Stewart,Air Conditioner,Y,Y,101,0:01:28,3,Billing
ID0093,02/01/2015 13:04,Jim,Air Conditioner,Y,Y,56,0:02:52,3,Returns
ID0094,02/01/2015 13:04,Becky,Air Conditioner,Y,Y,80,0:00:53,3,How-to
ID0095,02/01/2015 13:13,Diane,Television,Y,Y,24,0:01:36,3,Billing
ID0096,02/01/2015 13:13,Stewart,Toaster,Y,Y,113,0:03:54,2,How-to
ID0097,02/01/2015 13:20,Greg,Washing Machine,Y,Y,19,0:02:03,4,How-to
ID0098,02/01/2015 13:20,Martha,Television,N,N,,,,Returns
ID0099,02/01/2015 13:20,Dan,Washing Machine,Y,Y,45,0:06:37,3,
ID0100,02/01/2015 13:20,Diane,Air Conditioner,Y,Y,95,0:05:11,1,Returns
ID0101,02/01/2015 13:45,Becky,Air Conditioner,N,N,,,,How-to
ID0102,02/01/2015 13:45,Martha,Air Conditioner,Y,N,79,0:05:31,1,How-to
ID0103,02/01/2015 13:49,Diane,Toaster,Y,Y,22,0:03:56,2,How-to
ID0104,02/01/2015 13:49,Martha,Washing Machine,Y,Y,38,0:06:36,1,Returns
ID0105,02/01/2015 13:53,Becky,Air Conditioner,Y,Y,112,0:03:25,5,Billing
ID0106,02/01/2015 13:53,Becky,Toaster,Y,Y,65,0:04:57,3,Broken Product
ID0107,02/01/2015 14:22,Joe,Television,N,N,,,,How-to
ID0108,02/01/2015 14:22,Becky,Washing Machine,Y,N,55,0:02:32,1,
ID0109,02/01/2015 14:52,Stewart,Fridge,N,N,,,,Broken Product
ID0110,02/01/2015 14:52,Joe,Television,Y,Y,19,0:02:38,2,How-to
ID0111,02/01/2015 15:10,Becky,Air Conditioner,Y,Y,53,0:00:56,3,Billing
ID0112,02/01/2015 15:10,Diane,Air Conditioner,Y,Y,24,0:06:06,5,Billing
ID0113,02/01/2015 15:36,Martha,Television,Y,Y,73,0:06:01,3,Broken Product
ID0114,02/01/2015 15:36,Stewart,Air Conditioner,N,N,,,,Returns
ID0115,02/01/2015 17:36,Jim,Air Conditioner,Y,Y,55,0:05:47,5,Billing
ID0116,02/01/2015 17:36,Greg,Toaster,N,N,,,,Broken Product
ID0117,02/01/2015 17:47,Diane,Television,N,N,,,,Broken Product
ID0118,02/01/2015 17:47,Martha,Television,Y,Y,23,0:05:18,4,How-to
ID0119,03/01/2015 9:10,Dan,Toaster,Y,N,124,0:02:23,5,Broken Product
ID0120,03/01/2015 9:10,Dan,Washing Machine,N,N,,,,New Purchase
ID0121,03/01/2015 9:47,Dan,Air Conditioner,Y,Y,103,0:01:01,4,How-to
ID0122,03/01/2015 9:47,Martha,Washing Machine,Y,Y,69,0:03:45,4,Billing
ID0123,03/01/2015 10:29,Joe,Television,Y,Y,78,0:01:12,3,Returns
ID0124,03/01/2015 10:29,Martha,Air Conditioner,Y,Y,78,0:03:26,5,How-to
ID0125,03/01/2015 10:37,Martha,Air Conditioner,N,N,,,,Broken Product
ID0126,03/01/2015 10:37,Diane,Toaster,Y,Y,44,0:05:38,4,
ID0127,03/01/2015 10:52,Martha,Fridge,Y,Y,35,0:02:46,4,Broken Product
ID0128,03/01/2015 10:52,Becky,Fridge,Y,Y,102,0:05:26,4,
ID0129,03/01/2015 10:52,Jim,Washing Machine,Y,Y,99,0:05:51,3,Returns
ID0130,03/01/2015 10:52,Jim,Fridge,Y,Y,29,0:04:09,3,How-to
ID0131,03/01/2015 10:58,Becky,Fridge,Y,N,42,0:00:59,5,How-to
ID0132,03/01/2015 10:58,Diane,Toaster,Y,Y,113,0:05:40,4,Returns
ID0133,03/01/2015 11:02,Dan,Fridge,Y,Y,124,0:00:53,2,Broken Product
ID0134,03/01/2015 11:02,Jim,Air Conditioner,N,N,,,,Broken Product
ID0135,03/01/2015 11:03,Dan,Toaster,Y,Y,55,0:02:13,1,Broken Product
ID0136,03/01/2015 11:03,Greg,Air Conditioner,Y,N,105,0:05:59,3,How-to
ID0137,03/01/2015 11:06,Stewart,Washing Machine,Y,N,112,0:03:12,5,How-to
ID0138,03/01/2015 11:06,Martha,Washing Machine,N,N,,,,
ID0139,03/01/2015 11:16,Becky,Air Conditioner,Y,Y,43,0:06:20,5,Broken Product
ID0140,03/01/2015 11:16,Joe,Toaster,Y,Y,20,0:01:44,3,How-to
ID0141,03/01/2015 11:26,Greg,Air Conditioner,Y,Y,84,0:01:43,5,Billing
ID0142,03/01/2015 11:26,Jim,Washing Machine,Y,Y,20,0:02:44,4,Broken Product
ID0143,03/01/2015 11:38,Greg,Television,Y,Y,101,0:02:16,3,Returns
ID0144,03/01/2015 11:38,Diane,Air Conditioner,Y,Y,31,0:02:55,5,Returns
ID0145,03/01/2015 11:52,Jim,Washing Machine,Y,Y,56,0:04:09,5,Broken Product
ID0146,03/01/2015 11:52,Joe,Washing Machine,N,N,,,,Billing
ID0147,03/01/2015 11:55,Joe,Toaster,Y,Y,77,0:01:27,5,Returns
ID0148,03/01/2015 11:55,Jim,Toaster,Y,Y,46,0:00:50,4,Returns
ID0149,03/01/2015 11:58,Stewart,Fridge,Y,Y,88,0:04:26,3,Returns
ID0150,03/01/2015 11:58,Diane,Toaster,Y,Y,88,0:00:58,1,How-to
ID0151,03/01/2015 12:33,Joe,Air Conditioner,Y,Y,124,0:06:03,1,How-to
ID0152,03/01/2015 12:33,Stewart,Washing Machine,N,N,,,,Returns
ID0153,03/01/2015 12:54,Martha,Toaster,Y,N,52,0:06:59,4,How-to
ID0154,03/01/2015 12:54,Joe,Fridge,Y,Y,67,0:06:10,5,Billing
ID0155,03/01/2015 13:12,Martha,Toaster,Y,Y,119,0:04:16,3,Broken Product
ID0156,03/01/2015 13:12,Dan,Fridge,Y,Y,98,0:04:37,2,How-to
ID0157,03/01/2015 13:14,Jim,Air Conditioner,N,N,,,,Billing
ID0158,03/01/2015 13:14,Joe,Air Conditioner,Y,Y,118,0:04:18,3,Broken Product
ID0159,03/01/2015 13:27,Becky,Fridge,Y,Y,123,0:01:15,3,New Purchase
ID0160,03/01/2015 13:27,Becky,Television,Y,N,86,0:05:37,1,New Purchase
ID0161,03/01/2015 13:35,Greg,Fridge,Y,Y,104,0:02:09,3,Billing
ID0162,03/01/2015 13:35,Greg,Toaster,Y,Y,69,0:01:33,2,Billing
ID0163,03/01/2015 13:58,Dan,Washing Machine,Y,Y,113,0:02:38,1,How-to
ID0164,03/01/2015 13:58,Joe,Television,Y,Y,88,0:03:23,5,Broken Product
ID0165,03/01/2015 13:58,Joe,Television,N,N,,,,Returns
ID0166,03/01/2015 13:58,Stewart,Toaster,N,N,,,,New Purchase
ID0167,03/01/2015 14:03,Joe,Toaster,Y,Y,84,0:00:58,2,How-to
ID0168,03/01/2015 14:03,Diane,Television,Y,Y,113,0:01:22,3,Billing
ID0169,03/01/2015 14:47,Joe,Television,Y,Y,38,0:05:31,4,New Purchase
ID0170,03/01/2015 14:47,Dan,Television,Y,Y,14,0:06:14,4,Broken Product
ID0171,03/01/2015 15:34,Martha,Television,Y,N,25,0:05:32,4,Returns
ID0172,03/01/2015 15:34,Dan,Washing Machine,N,N,,,,Billing
ID0173,03/01/2015 16:29,Diane,Air Conditioner,N,N,,,,Broken Product
ID0174,03/01/2015 16:29,Joe,Toaster,Y,Y,117,0:02:07,4,How-to
ID0175,03/01/2015 17:31,Stewart,Toaster,Y,N,57,0:06:01,2,Broken Product
ID0176,03/01/2015 17:31,Martha,Air Conditioner,Y,Y,119,0:05:19,5,Billing
ID0177,04/01/2015 9:01,Martha,Washing Machine,N,N,,,,Returns
ID0178,04/01/2015 9:01,Diane,Television,Y,Y,93,0:06:32,5,
ID0179,04/01/2015 9:31,Martha,Toaster,Y,Y,86,0:01:04,4,
ID0180,04/01/2015 9:31,Joe,Television,N,N,,,,How-to
ID0181,04/01/2015 9:43,Dan,Washing Machine,Y,Y,92,0:02:59,3,How-to
ID0182,04/01/2015 9:43,Greg,Television,N,N,,,,Returns
ID0183,04/01/2015 10:03,Martha,Air Conditioner,Y,Y,106,0:05:42,3,Billing
ID0184,04/01/2015 10:03,Stewart,Air Conditioner,Y,Y,67,0:02:44,3,
ID0185,04/01/2015 10:27,Jim,Television,Y,Y,90,0:04:17,3,Billing
ID0186,04/01/2015 10:27,Diane,Air Conditioner,N,N,,,,Billing
ID0187,04/01/2015 11:09,Becky,Television,Y,N,50,0:03:49,4,Billing
ID0188,04/01/2015 11:09,Diane,Fridge,Y,N,89,0:04:16,3,Returns
ID0189,04/01/2015 11:13,Jim,Fridge,Y,Y,74,0:06:18,3,Broken Product
ID0190,04/01/2015 11:13,Martha,Toaster,Y,Y,63,0:02:22,2,Billing
ID0191,04/01/2015 11:18,Becky,Washing Machine,Y,Y,45,0:06:31,5,Returns
ID0192,04/01/2015 11:18,Martha,Air Conditioner,N,N,,,,Returns
ID0193,04/01/2015 11:22,Dan,Toaster,Y,Y,31,0:06:43,2,New Purchase
ID0194,04/01/2015 11:22,Joe,Television,N,N,,,,
ID0195,04/01/2015 11:32,Joe,Washing Machine,Y,Y,43,0:03:44,5,Returns
ID0196,04/01/2015 11:32,Martha,Television,Y,Y,50,0:05:42,4,Billing
ID0197,04/01/2015 12:02,Dan,Air Conditioner,Y,Y,48,0:05:12,4,Billing
ID0198,04/01/2015 12:02,Martha,Fridge,Y,Y,113,0:02:44,5,New Purchase
ID0199,04/01/2015 12:15,Jim,Television,N,N,,,,Billing
ID0200,04/01/2015 12:15,Joe,Air Conditioner,Y,Y,103,0:06:40,5,Billing
ID0201,04/01/2015 12:15,Becky,Air Conditioner,Y,N,95,0:04:27,3,Broken Product
ID0202,04/01/2015 12:15,Joe,Fridge,Y,Y,30,0:05:04,1,How-to
ID0203,04/01/2015 13:32,Greg,Fridge,Y,Y,124,0:03:19,3,New Purchase
ID0204,04/01/2015 13:32,Diane,Fridge,Y,Y,17,0:02:03,5,New Purchase
ID0205,04/01/2015 13:45,Stewart,Television,Y,Y,113,0:06:00,3,Billing
ID0206,04/01/2015 13:45,Jim,Air Conditioner,Y,Y,25,0:02:27,5,Billing
ID0207,04/01/2015 13:56,Jim,Fridge,Y,Y,52,0:04:22,5,Returns
ID0208,04/01/2015 13:56,Dan,Fridge,Y,Y,28,0:02:44,5,Billing
ID0209,04/01/2015 14:25,Greg,Air Conditioner,Y,Y,69,0:03:05,3,Broken Product
ID0210,04/01/2015 14:25,Martha,Television,Y,Y,106,0:03:52,3,Broken Product
ID0211,04/01/2015 14:28,Jim,Air Conditioner,N,N,,,,How-to
ID0212,04/01/2015 14:28,Joe,Toaster,Y,Y,26,0:04:59,3,How-to
ID0213,04/01/2015 14:31,Joe,Toaster,Y,Y,53,0:05:55,4,Billing
ID0214,04/01/2015 14:31,Martha,Air Conditioner,Y,Y,77,0:04:10,2,Returns
ID0215,04/01/2015 14:49,Jim,Washing Machine,Y,Y,45,0:03:02,3,Broken Product
ID0216,04/01/2015 14:49,Becky,Air Conditioner,N,N,,,,Billing
ID0217,04/01/2015 15:23,Greg,Television,Y,Y,56,0:04:16,4,Returns
ID0218,04/01/2015 15:23,Stewart,Fridge,Y,Y,13,0:03:56,2,Billing
ID0219,04/01/2015 15:48,Stewart,Fridge,Y,Y,120,0:06:50,5,How-to
ID0220,04/01/2015 15:48,Diane,Toaster,Y,Y,22,0:00:50,1,Broken Product
ID0221,04/01/2015 16:48,Martha,Toaster,Y,Y,81,0:03:21,4,Returns
ID0222,04/01/2015 16:48,Jim,Television,N,N,,,,
ID0223,04/01/2015 16:49,Martha,Washing Machine,Y,Y,71,0:00:48,2,Billing
ID0224,04/01/2015 16:49,Stewart,Toaster,Y,Y,75,0:01:33,4,New Purchase
ID0225,04/01/2015 16:49,Martha,Air Conditioner,Y,Y,77,0:02:42,4,Billing
ID0226,04/01/2015 16:49,Joe,Television,Y,Y,88,0:06:27,4,Returns
ID0227,04/01/2015 17:35,Stewart,Fridge,Y,Y,82,0:03:05,2,New Purchase
ID0228,04/01/2015 17:35,Jim,Air Conditioner,Y,Y,110,0:06:30,3,How-to
ID0229,04/01/2015 17:39,Martha,Fridge,Y,N,70,0:01:32,3,Broken Product
ID0230,04/01/2015 17:39,Becky,Fridge,Y,Y,117,0:03:40,3,How-to
ID0231,05/01/2015 9:08,Joe,Television,Y,Y,18,0:00:50,3,Broken Product
ID0232,05/01/2015 9:08,Joe,Television,Y,Y,113,0:02:36,4,
ID0233,05/01/2015 9:25,Stewart,Washing Machine,Y,N,68,0:03:29,5,Returns
ID0234,05/01/2015 9:25,Greg,Toaster,Y,Y,67,0:04:14,5,How-to
ID0235,05/01/2015 9:33,Joe,Air Conditioner,Y,Y,36,0:01:07,5,How-to
ID0236,05/01/2015 9:33,Stewart,Television,N,N,,,,How-to
ID0237,05/01/2015 10:00,Becky,Air Conditioner,Y,Y,33,0:02:30,1,Broken Product
ID0238,05/01/2015 10:00,Dan,Washing Machine,Y,Y,113,0:01:59,5,How-to
ID0239,05/01/2015 10:49,Greg,Washing Machine,Y,Y,106,0:06:19,3,Broken Product
ID0240,05/01/2015 10:49,Joe,Television,Y,Y,23,0:04:59,3,New Purchase
ID0241,05/01/2015 11:31,Joe,Television,N,N,,,,
ID0242,05/01/2015 11:31,Greg,Toaster,Y,Y,11,0:04:42,1,Returns
ID0243,05/01/2015 11:41,Greg,Washing Machine,Y,Y,73,0:04:45,5,How-to
ID0244,05/01/2015 11:41,Dan,Fridge,Y,Y,109,0:04:49,5,How-to
ID0245,05/01/2015 11:49,Martha,Toaster,Y,Y,29,0:04:14,4,
ID0246,05/01/2015 11:49,Dan,Television,N,N,,,,How-to
ID0247,05/01/2015 11:49,Becky,Fridge,Y,Y,81,0:01:14,4,
ID0248,05/01/2015 11:49,Greg,Washing Machine,Y,Y,59,0:03:52,1,
ID0249,05/01/2015 12:00,Becky,Television,Y,Y,32,0:06:29,4,How-to
ID0250,05/01/2015 12:00,Martha,Fridge,Y,Y,116,0:00:42,4,Billing
ID0251,05/01/2015 12:12,Diane,Toaster,Y,Y,92,0:01:55,5,New Purchase
ID0252,05/01/2015 12:12,Greg,Television,Y,Y,62,0:06:02,5,Broken Product
ID0253,05/01/2015 13:04,Joe,Toaster,Y,Y,83,0:01:53,5,Broken Product
ID0254,05/01/2015 13:04,Joe,Fridge,Y,Y,71,0:02:31,3,
ID0255,05/01/2015 13:59,Greg,Fridge,Y,N,74,0:04:32,3,Broken Product
ID0256,05/01/2015 13:59,Joe,Air Conditioner,Y,Y,96,0:05:46,4,Billing
ID0257,05/01/2015 14:42,Diane,Fridge,Y,Y,110,0:01:41,1,Broken Product
ID0258,05/01/2015 14:42,Jim,Television,Y,N,110,0:02:38,3,Billing
ID0259,05/01/2015 15:18,Dan,Air Conditioner,Y,Y,117,0:03:03,4,How-to
ID0260,05/01/2015 15:18,Becky,Fridge,Y,Y,44,0:05:53,3,New Purchase
ID0261,05/01/2015 15:20,Diane,Washing Machine,Y,Y,47,0:06:02,4,Broken Product
ID0262,05/01/2015 15:20,Greg,Fridge,Y,Y,97,0:01:16,3,How-to
ID0263,05/01/2015 15:31,Greg,Television,Y,Y,67,0:02:39,4,Returns
ID0264,05/01/2015 15:31,Diane,Television,Y,Y,72,0:06:48,3,How-to
ID0265,05/01/2015 15:31,Becky,Washing Machine,Y,Y,68,0:04:21,3,Broken Product
ID0266,05/01/2015 15:31,Joe,Toaster,Y,Y,98,0:06:22,5,New Purchase
ID0267,05/01/2015 15:37,Joe,Television,Y,Y,120,0:00:56,3,Broken Product
ID0268,05/01/2015 15:37,Dan,Toaster,Y,Y,13,0:02:33,1,
ID0269,05/01/2015 15:44,Jim,Fridge,Y,Y,95,0:01:47,5,Billing
ID0270,05/01/2015 15:44,Martha,Toaster,Y,Y,31,0:00:42,5,Billing
ID0271,05/01/2015 16:06,Dan,Television,Y,Y,113,0:06:22,3,Broken Product
ID0272,05/01/2015 16:06,Martha,Air Conditioner,Y,Y,116,0:04:40,3,How-to
ID0273,05/01/2015 16:16,Martha,Fridge,Y,N,94,0:05:29,5,Broken Product
ID0274,05/01/2015 16:16,Martha,Fridge,Y,N,51,0:04:42,4,Billing
ID0275,05/01/2015 16:27,Diane,Air Conditioner,Y,Y,60,0:04:07,4,Broken Product
ID0276,05/01/2015 16:27,Diane,Washing Machine,Y,Y,59,0:06:04,2,How-to
ID0277,05/01/2015 17:25,Stewart,Air Conditioner,N,N,,,,New Purchase
ID0278,05/01/2015 17:25,Greg,Toaster,N,N,,,,Broken Product
ID0279,05/01/2015 17:29,Joe,Air Conditioner,N,N,,,,How-to
ID0280,05/01/2015 17:29,Dan,Washing Machine,Y,Y,16,0:03:33,4,How-to
ID0281,05/01/2015 17:38,Diane,Air Conditioner,Y,Y,81,0:01:51,3,Billing
ID0282,05/01/2015 17:38,Joe,Television,Y,Y,65,0:06:46,1,Broken Product
ID0283,05/01/2015 17:44,Martha,Television,Y,Y,55,0:03:04,2,
ID0284,05/01/2015 17:44,Martha,Air Conditioner,N,N,,,,Broken Product
ID0285,05/01/2015 17:57,Martha,Air Conditioner,Y,Y,31,0:02:25,4,Broken Product
ID0286,05/01/2015 17:57,Diane,Television,Y,Y,45,0:05:13,2,Billing
ID0287,06/01/2015 9:08,Greg,Air Conditioner,N,N,,,,
ID0288,06/01/2015 9:08,Stewart,Toaster,Y,Y,43,0:02:09,5,Returns
ID0289,06/01/2015 10:06,Stewart,Air Conditioner,Y,Y,55,0:05:56,4,Broken Product
ID0290,06/01/2015 10:06,Stewart,Washing Machine,Y,Y,63,0:02:19,3,Returns
ID0291,06/01/2015 10:07,Joe,Toaster,N,N,,,,Broken Product
ID0292,06/01/2015 10:07,Jim,Washing Machine,Y,Y,122,0:05:52,1,How-to
ID0293,06/01/2015 10:32,Stewart,Washing Machine,Y,Y,71,0:02:39,4,Broken Product
ID0294,06/01/2015 10:32,Jim,Air Conditioner,Y,Y,54,0:04:57,4,Returns
ID0295,06/01/2015 10:42,Stewart,Television,Y,Y,74,0:03:22,4,Broken Product
ID0296,06/01/2015 10:42,Stewart,Fridge,Y,Y,125,0:04:47,4,Broken Product
ID0297,06/01/2015 11:12,Dan,Toaster,Y,Y,110,0:03:43,3,How-to
ID0298,06/01/2015 11:12,Becky,Television,N,N,,,,Returns
ID0299,06/01/2015 11:29,Martha,Air Conditioner,Y,Y,74,0:01:31,5,New Purchase
ID0300,06/01/2015 11:29,Diane,Toaster,Y,Y,80,0:04:27,4,New Purchase
ID0301,06/01/2015 11:38,Dan,Toaster,N,N,,,,
ID0302,06/01/2015 11:38,Joe,Washing Machine,Y,Y,110,0:03:54,2,How-to
ID0303,06/01/2015 11:45,Stewart,Toaster,Y,Y,26,0:03:08,3,How-to
ID0304,06/01/2015 11:45,Greg,Air Conditioner,N,N,,,,Returns
ID0305,06/01/2015 12:05,Joe,Fridge,Y,Y,97,0:01:47,3,Broken Product
ID0306,06/01/2015 12:05,Dan,Fridge,Y,N,82,0:05:40,3,Billing
ID0307,06/01/2015 12:07,Becky,Television,Y,N,102,0:05:53,5,Billing
ID0308,06/01/2015 12:07,Jim,Fridge,Y,Y,120,0:00:52,5,Broken Product
ID0309,06/01/2015 13:30,Greg,Television,Y,Y,70,0:05:19,3,How-to
