Call Id,Date,Agent,Department,Answered (Y/N),Resolved,Speed of Answer,AvgTalkDuration,Satisfaction rating,J,K
ID0111,02JAN15:15:10:05,Becky,Air Conditioner,Y,Y,53,0:00:56,3,,
ID0112,02JAN15:15:10:05,Diane,Air Conditioner,Y,Y,24,0:06:06,5,,
ID0113,02JAN15:15:36:00,Martha,Television,Y,Y,73,0:06:01,3,,
ID0115,02JAN15:17:36:58,Jim,Air Conditioner,Y,Y,55,0:05:47,5,,
ID0118,02JAN15:17:47:02,Martha,Television,Y,Y,23,0:05:18,4,,
ID0119,03JAN15:09:10:05,Dan,Toaster,Y,N,124,0:02:23,5,,
ID0121,03JAN15:09:47:31,Dan,Air Conditioner,Y,Y,103,0:01:01,4,,
ID0122,03JAN15:09:47:31,Martha,Washing Machine,Y,Y,69,0:03:45,4,,
ID0123,03JAN15:10:29:17,Joe,Television,Y,Y,78,0:01:12,3,,
ID0124,03JAN15:10:29:17,Martha,Air Conditioner,Y,Y,78,0:03:26,5,,
ID0126,03JAN15:10:37:55,Diane,Toaster,Y,Y,44,0:05:38,4,,
ID0127,03JAN15:10:52:19,Martha,Fridge,Y,Y,35,0:02:46,4,,
ID0128,03JAN15:10:52:19,Becky,Fridge,Y,Y,102,0:05:26,4,,
ID0129,03JAN15:10:52:19,Jim,Washing Machine,Y,Y,99,0:05:51,3,,
ID0130,03JAN15:10:52:19,Jim,Fridge,Y,Y,29,0:04:09,3,,
ID0131,03JAN15:10:58:05,Becky,Fridge,Y,N,42,0:00:59,5,,
ID0132,03JAN15:10:58:05,Diane,Toaster,Y,Y,113,0:05:40,4,,
ID0133,03JAN15:11:02:24,Dan,Fridge,Y,Y,124,0:00:53,2,,
ID0135,03JAN15:11:03:50,Dan,Toaster,Y,Y,55,0:02:13,1,,
ID0136,03JAN15:11:03:50,Greg,Air Conditioner,Y,N,105,0:05:59,3,,
ID0137,03JAN15:11:06:43,Stewart,Washing Machine,Y,N,112,0:03:12,5,,
ID0139,03JAN15:11:16:48,Becky,Air Conditioner,Y,Y,43,0:06:20,5,,
ID0140,03JAN15:11:16:48,Joe,Toaster,Y,Y,20,0:01:44,3,,
ID0141,03JAN15:11:26:53,Greg,Air Conditioner,Y,Y,84,0:01:43,5,,
ID0142,03JAN15:11:26:53,Jim,Washing Machine,Y,Y,20,0:02:44,4,,
ID0143,03JAN15:11:38:24,Greg,Television,Y,Y,101,0:02:16,3,,
ID0144,03JAN15:11:38:24,Diane,Air Conditioner,Y,Y,31,0:02:55,5,,
ID0145,03JAN15:11:52:48,Jim,Washing Machine,Y,Y,56,0:04:09,5,,
ID0147,03JAN15:11:55:41,Joe,Toaster,Y,Y,77,0:01:27,5,,
ID0148,03JAN15:11:55:41,Jim,Toaster,Y,Y,46,0:00:50,4,,
ID0149,03JAN15:11:58:34,Stewart,Fridge,Y,Y,88,0:04:26,3,,
ID0150,03JAN15:11:58:34,Diane,Toaster,Y,Y,88,0:00:58,1,,
ID0151,03JAN15:12:33:07,Joe,Air Conditioner,Y,Y,124,0:06:03,1,,
ID0153,03JAN15:12:54:43,Martha,Toaster,Y,N,52,0:06:59,4,,
ID0154,03JAN15:12:54:43,Joe,Fridge,Y,Y,67,0:06:10,5,,
ID0155,03JAN15:13:12:00,Martha,Toaster,Y,Y,119,0:04:16,3,,
ID0156,03JAN15:13:12:00,Dan,Fridge,Y,Y,98,0:04:37,2,,
ID0158,03JAN15:13:14:53,Joe,Air Conditioner,Y,Y,118,0:04:18,3,,
ID0159,03JAN15:13:27:50,Becky,Fridge,Y,Y,123,0:01:15,3,,
ID0160,03JAN15:13:27:50,Becky,Television,Y,N,86,0:05:37,1,,
ID0161,03JAN15:13:35:02,Greg,Fridge,Y,Y,104,0:02:09,3,,
ID0162,03JAN15:13:35:02,Greg,Toaster,Y,Y,69,0:01:33,2,,
ID0163,03JAN15:13:58:05,Dan,Washing Machine,Y,Y,113,0:02:38,1,,
ID0164,03JAN15:13:58:05,Joe,Television,Y,Y,88,0:03:23,5,,
ID0167,03JAN15:14:03:50,Joe,Toaster,Y,Y,84,0:00:58,2,,
ID0168,03JAN15:14:03:50,Diane,Television,Y,Y,113,0:01:22,3,,
ID0169,03JAN15:14:47:02,Joe,Television,Y,Y,38,0:05:31,4,,
ID0170,03JAN15:14:47:02,Dan,Television,Y,Y,14,0:06:14,4,,
ID0171,03JAN15:15:34:34,Martha,Television,Y,N,25,0:05:32,4,,
ID0174,03JAN15:16:29:17,Joe,Toaster,Y,Y,117,0:02:07,4,,
ID0175,03JAN15:17:31:12,Stewart,Toaster,Y,N,57,0:06:01,2,,
ID0176,03JAN15:17:31:12,Martha,Air Conditioner,Y,Y,119,0:05:19,5,,
ID0178,04JAN15:09:01:26,Diane,Television,Y,Y,93,0:06:32,5,,
ID0179,04JAN15:09:31:41,Martha,Toaster,Y,Y,86,0:01:04,4,,
ID0181,04JAN15:09:43:12,Dan,Washing Machine,Y,Y,92,0:02:59,3,,
ID0183,04JAN15:10:03:22,Martha,Air Conditioner,Y,Y,106,0:05:42,3,,
ID0184,04JAN15:10:03:22,Stewart,Air Conditioner,Y,Y,67,0:02:44,3,,
ID0185,04JAN15:10:27:50,Jim,Television,Y,Y,90,0:04:17,3,,
ID0187,04JAN15:11:09:36,Becky,Television,Y,N,50,0:03:49,4,,
ID0188,04JAN15:11:09:36,Diane,Fridge,Y,N,89,0:04:16,3,,
ID0189,04JAN15:11:13:55,Jim,Fridge,Y,Y,74,0:06:18,3,,
ID0190,04JAN15:11:13:55,Martha,Toaster,Y,Y,63,0:02:22,2,,
ID0191,04JAN15:11:18:14,Becky,Washing Machine,Y,Y,45,0:06:31,5,,
ID0193,04JAN15:11:22:34,Dan,Toaster,Y,Y,31,0:06:43,2,,
ID0195,04JAN15:11:32:38,Joe,Washing Machine,Y,Y,43,0:03:44,5,,
ID0196,04JAN15:11:32:38,Martha,Television,Y,Y,50,0:05:42,4,,
ID0197,04JAN15:12:02:53,Dan,Air Conditioner,Y,Y,48,0:05:12,4,,
ID0198,04JAN15:12:02:53,Martha,Fridge,Y,Y,113,0:02:44,5,,
ID0200,04JAN15:12:15:50,Joe,Air Conditioner,Y,Y,103,0:06:40,5,,
ID0201,04JAN15:12:15:50,Becky,Air Conditioner,Y,N,95,0:04:27,3,,
ID0202,04JAN15:12:15:50,Joe,Fridge,Y,Y,30,0:05:04,1,,
ID0203,04JAN15:13:32:10,Greg,Fridge,Y,Y,124,0:03:19,3,,
ID0204,04JAN15:13:32:10,Diane,Fridge,Y,Y,17,0:02:03,5,,
ID0205,04JAN15:13:45:07,Stewart,Television,Y,Y,113,0:06:00,3,,
ID0206,04JAN15:13:45:07,Jim,Air Conditioner,Y,Y,25,0:02:27,5,,
ID0207,04JAN15:13:56:38,Jim,Fridge,Y,Y,52,0:04:22,5,,
ID0208,04JAN15:13:56:38,Dan,Fridge,Y,Y,28,0:02:44,5,,
ID0209,04JAN15:14:25:26,Greg,Air Conditioner,Y,Y,69,0:03:05,3,,
ID0210,04JAN15:14:25:26,Martha,Television,Y,Y,106,0:03:52,3,,
ID0212,04JAN15:14:28:19,Joe,Toaster,Y,Y,26,0:04:59,3,,
ID0213,04JAN15:14:31:12,Joe,Toaster,Y,Y,53,0:05:55,4,,
ID0214,04JAN15:14:31:12,Martha,Air Conditioner,Y,Y,77,0:04:10,2,,
ID0215,04JAN15:14:49:55,Jim,Washing Machine,Y,Y,45,0:03:02,3,,
ID0217,04JAN15:15:23:02,Greg,Television,Y,Y,56,0:04:16,4,,
ID0218,04JAN15:15:23:02,Stewart,Fridge,Y,Y,13,0:03:56,2,,
ID0219,04JAN15:15:48:58,Stewart,Fridge,Y,Y,120,0:06:50,5,,
ID0220,04JAN15:15:48:58,Diane,Toaster,Y,Y,22,0:00:50,1,,
ID0221,04JAN15:16:48:00,Martha,Toaster,Y,Y,81,0:03:21,4,,
ID0223,04JAN15:16:49:26,Martha,Washing Machine,Y,Y,71,0:00:48,2,,
ID0224,04JAN15:16:49:26,Stewart,Toaster,Y,Y,75,0:01:33,4,,
ID0225,04JAN15:16:49:26,Martha,Air Conditioner,Y,Y,77,0:02:42,4,,
ID0226,04JAN15:16:49:26,Joe,Television,Y,Y,88,0:06:27,4,,
ID0227,04JAN15:17:35:31,Stewart,Fridge,Y,Y,82,0:03:05,2,,
ID0228,04JAN15:17:35:31,Jim,Air Conditioner,Y,Y,110,0:06:30,3,,
ID0229,04JAN15:17:39:50,Martha,Fridge,Y,N,70,0:01:32,3,,
ID0230,04JAN15:17:39:50,Becky,Fridge,Y,Y,117,0:03:40,3,,
ID0231,05JAN15:09:08:38,Joe,Television,Y,Y,18,0:00:50,3,,
ID0232,05JAN15:09:08:38,Joe,Television,Y,Y,113,0:02:36,4,,
ID0233,05JAN15:09:25:55,Stewart,Washing Machine,Y,N,68,0:03:29,5,,
ID0234,05JAN15:09:25:55,Greg,Toaster,Y,Y,67,0:04:14,5,,
ID0235,05JAN15:09:33:07,Joe,Air Conditioner,Y,Y,36,0:01:07,5,,
ID0237,05JAN15:10:00:29,Becky,Air Conditioner,Y,Y,33,0:02:30,1,,
ID0238,05JAN15:10:00:29,Dan,Washing Machine,Y,Y,113,0:01:59,5,,
ID0239,05JAN15:10:49:26,Greg,Washing Machine,Y,Y,106,0:06:19,3,,
ID0240,05JAN15:10:49:26,Joe,Television,Y,Y,23,0:04:59,3,,
ID0242,05JAN15:11:31:12,Greg,Toaster,Y,Y,11,0:04:42,1,,
ID0243,05JAN15:11:41:17,Greg,Washing Machine,Y,Y,73,0:04:45,5,,
ID0244,05JAN15:11:41:17,Dan,Fridge,Y,Y,109,0:04:49,5,,
ID0245,05JAN15:11:49:55,Martha,Toaster,Y,Y,29,0:04:14,4,,
ID0247,05JAN15:11:49:55,Becky,Fridge,Y,Y,81,0:01:14,4,,
ID0248,05JAN15:11:49:55,Greg,Washing Machine,Y,Y,59,0:03:52,1,,
ID0249,05JAN15:12:00:00,Becky,Television,Y,Y,32,0:06:29,4,,
ID0250,05JAN15:12:00:00,Martha,Fridge,Y,Y,116,0:00:42,4,,
ID0251,05JAN15:12:12:58,Diane,Toaster,Y,Y,92,0:01:55,5,,
ID0252,05JAN15:12:12:58,Greg,Television,Y,Y,62,0:06:02,5,,
ID0253,05JAN15:13:04:48,Joe,Toaster,Y,Y,83,0:01:53,5,,
ID0254,05JAN15:13:04:48,Joe,Fridge,Y,Y,71,0:02:31,3,,
ID0255,05JAN15:13:59:31,Greg,Fridge,Y,N,74,0:04:32,3,,
ID0256,05JAN15:13:59:31,Joe,Air Conditioner,Y,Y,96,0:05:46,4,,
ID0257,05JAN15:14:42:43,Diane,Fridge,Y,Y,110,0:01:41,1,,
ID0258,05JAN15:14:42:43,Jim,Television,Y,N,110,0:02:38,3,,
ID0259,05JAN15:15:18:43,Dan,Air Conditioner,Y,Y,117,0:03:03,4,,
ID0260,05JAN15:15:18:43,Becky,Fridge,Y,Y,44,0:05:53,3,,
ID0261,05JAN15:15:20:10,Diane,Washing Machine,Y,Y,47,0:06:02,4,,
ID0262,05JAN15:15:20:10,Greg,Fridge,Y,Y,97,0:01:16,3,,
ID0263,05JAN15:15:31:41,Greg,Television,Y,Y,67,0:02:39,4,,
ID0264,05JAN15:15:31:41,Diane,Television,Y,Y,72,0:06:48,3,,
ID0265,05JAN15:15:31:41,Becky,Washing Machine,Y,Y,68,0:04:21,3,,
ID0266,05JAN15:15:31:41,Joe,Toaster,Y,Y,98,0:06:22,5,,
ID0267,05JAN15:15:37:26,Joe,Television,Y,Y,120,0:00:56,3,,
ID0268,05JAN15:15:37:26,Dan,Toaster,Y,Y,13,0:02:33,1,,
ID0269,05JAN15:15:44:38,Jim,Fridge,Y,Y,95,0:01:47,5,,
ID0270,05JAN15:15:44:38,Martha,Toaster,Y,Y,31,0:00:42,5,,
ID0271,05JAN15:16:06:14,Dan,Television,Y,Y,113,0:06:22,3,,
ID0272,05JAN15:16:06:14,Martha,Air Conditioner,Y,Y,116,0:04:40,3,,
ID0273,05JAN15:16:16:19,Martha,Fridge,Y,N,94,0:05:29,5,,
ID0274,05JAN15:16:16:19,Martha,Fridge,Y,N,51,0:04:42,4,,
ID0275,05JAN15:16:27:50,Diane,Air Conditioner,Y,Y,60,0:04:07,4,,
ID0276,05JAN15:16:27:50,Diane,Washing Machine,Y,Y,59,0:06:04,2,,
ID0280,05JAN15:17:29:46,Dan,Washing Machine,Y,Y,16,0:03:33,4,,
ID0281,05JAN15:17:38:24,Diane,Air Conditioner,Y,Y,81,0:01:51,3,,
ID0282,05JAN15:17:38:24,Joe,Television,Y,Y,65,0:06:46,1,,
ID0283,05JAN15:17:44:10,Martha,Television,Y,Y,55,0:03:04,2,,
ID0285,05JAN15:17:57:07,Martha,Air Conditioner,Y,Y,31,0:02:25,4,,
ID0286,05JAN15:17:57:07,Diane,Television,Y,Y,45,0:05:13,2,,
ID0288,06JAN15:09:08:38,Stewart,Toaster,Y,Y,43,0:02:09,5,,
ID0289,06JAN15:10:06:14,Stewart,Air Conditioner,Y,Y,55,0:05:56,4,,
ID0290,06JAN15:10:06:14,Stewart,Washing Machine,Y,Y,63,0:02:19,3,,
ID0292,06JAN15:10:07:41,Jim,Washing Machine,Y,Y,122,0:05:52,1,,
ID0293,06JAN15:10:32:10,Stewart,Washing Machine,Y,Y,71,0:02:39,4,,
ID0294,06JAN15:10:32:10,Jim,Air Conditioner,Y,Y,54,0:04:57,4,,
ID0295,06JAN15:10:42:14,Stewart,Television,Y,Y,74,0:03:22,4,,
ID0296,06JAN15:10:42:14,Stewart,Fridge,Y,Y,125,0:04:47,4,,
ID0297,06JAN15:11:12:29,Dan,Toaster,Y,Y,110,0:03:43,3,,
ID0299,06JAN15:11:29:46,Martha,Air Conditioner,Y,Y,74,0:01:31,5,,
ID0300,06JAN15:11:29:46,Diane,Toaster,Y,Y,80,0:04:27,4,,
ID0302,06JAN15:11:38:24,Joe,Washing Machine,Y,Y,110,0:03:54,2,,
ID0303,06JAN15:11:45:36,Stewart,Toaster,Y,Y,26,0:03:08,3,,
ID0305,06JAN15:12:05:46,Joe,Fridge,Y,Y,97,0:01:47,3,,
ID0306,06JAN15:12:05:46,Dan,Fridge,Y,N,82,0:05:40,3,,
ID0307,06JAN15:12:07:12,Becky,Television,Y,N,102,0:05:53,5,,
ID0308,06JAN15:12:07:12,Jim,Fridge,Y,Y,120,0:00:52,5,,
ID0309,06JAN15:13:30:43,Greg,Television,Y,Y,70,0:05:19,3,,
ID0311,06JAN15:13:58:05,Stewart,Toaster,Y,Y,122,0:02:56,3,,
ID0313,06JAN15:14:03:50,Joe,Toaster,Y,Y,19,0:00:55,1,,
ID0314,06JAN15:14:03:50,Greg,Toaster,Y,Y,71,0:02:37,4,,
ID0315,06JAN15:14:13:55,Joe,Air Conditioner,Y,Y,24,0:04:59,1,,
ID0316,06JAN15:14:13:55,Martha,Air Conditioner,Y,Y,67,0:05:36,1,,
ID0317,06JAN15:14:32:38,Martha,Television,Y,N,57,0:04:14,3,,
ID0318,06JAN15:14:32:38,Diane,Television,Y,Y,108,0:05:03,4,,
ID0319,06JAN15:14:57:07,Stewart,Toaster,Y,Y,99,0:04:08,4,,
ID0320,06JAN15:14:57:07,Stewart,Toaster,Y,Y,56,0:04:52,1,,
ID0321,06JAN15:15:02:53,Stewart,Toaster,Y,Y,121,0:03:57,3,,
ID0323,06JAN15:15:12:58,Joe,Washing Machine,Y,Y,72,0:06:00,1,,
ID0324,06JAN15:15:12:58,Greg,Washing Machine,Y,Y,54,0:06:15,4,,
ID0325,06JAN15:16:17:46,Martha,Fridge,Y,Y,30,0:04:36,3,,
ID0326,06JAN15:16:17:46,Jim,Toaster,Y,Y,44,0:01:04,2,,
ID0327,06JAN15:16:22:05,Greg,Toaster,Y,N,97,0:01:58,4,,
ID0328,06JAN15:16:22:05,Jim,Television,Y,Y,47,0:01:49,3,,
ID0329,06JAN15:16:27:50,Dan,Television,Y,Y,53,0:01:43,3,,
ID0333,06JAN15:16:39:22,Stewart,Fridge,Y,Y,81,0:03:45,3,,
ID0334,06JAN15:16:39:22,Diane,Washing Machine,Y,Y,11,0:00:34,4,,
ID0335,06JAN15:17:00:58,Martha,Toaster,Y,Y,48,0:00:53,5,,
ID0336,06JAN15:17:00:58,Stewart,Washing Machine,Y,Y,37,0:06:54,5,,
ID0337,06JAN15:17:19:41,Martha,Air Conditioner,Y,Y,115,0:02:34,4,,
ID0338,06JAN15:17:19:41,Greg,Toaster,Y,Y,81,0:00:53,4,,
ID0340,06JAN15:17:21:07,Jim,Fridge,Y,Y,12,0:03:12,5,,
ID0341,06JAN15:17:22:34,Stewart,Fridge,Y,Y,75,0:02:51,3,,
ID0342,06JAN15:17:22:34,Jim,Washing Machine,Y,Y,42,0:01:17,4,,
ID0343,06JAN15:17:24:00,Greg,Fridge,Y,Y,96,0:01:45,5,,
ID0344,06JAN15:17:24:00,Stewart,Toaster,Y,Y,58,0:01:51,5,,
ID0345,07JAN15:09:04:19,Dan,Washing Machine,Y,Y,62,0:05:16,5,,
ID0346,07JAN15:09:04:19,Greg,Toaster,Y,Y,74,0:02:10,5,,
ID0347,07JAN15:09:07:12,Becky,Air Conditioner,Y,Y,26,0:01:10,3,,
ID0349,07JAN15:09:20:10,Joe,Air Conditioner,Y,Y,40,0:05:08,2,,
ID0350,07JAN15:09:20:10,Joe,Television,Y,Y,12,0:04:54,3,,
ID0351,07JAN15:10:14:53,Joe,Washing Machine,Y,Y,114,0:03:41,5,,
ID0352,07JAN15:10:14:53,Becky,Washing Machine,Y,Y,85,0:03:29,4,,
ID0353,07JAN15:10:23:31,Diane,Fridge,Y,Y,52,0:01:55,5,,
ID0354,07JAN15:10:23:31,Greg,Television,Y,Y,60,0:04:18,3,,
ID0355,07JAN15:10:33:36,Joe,Fridge,Y,Y,76,0:05:07,4,,
ID0358,07JAN15:10:48:00,Joe,Television,Y,Y,25,0:01:20,5,,
ID0359,07JAN15:11:36:58,Greg,Television,Y,Y,37,0:02:32,3,,
ID0360,07JAN15:11:36:58,Dan,Fridge,Y,Y,71,0:05:41,3,,
ID0361,07JAN15:11:42:43,Jim,Fridge,Y,Y,76,0:04:37,1,,
ID0362,07JAN15:11:42:43,Stewart,Air Conditioner,Y,Y,66,0:06:50,3,,
ID0363,07JAN15:11:47:02,Diane,Fridge,Y,Y,72,0:03:25,3,,
ID0364,07JAN15:11:47:02,Jim,Fridge,Y,Y,47,0:06:37,5,,
ID0366,07JAN15:12:08:38,Greg,Toaster,Y,Y,29,0:02:51,5,,
ID0368,07JAN15:12:36:00,Becky,Washing Machine,Y,Y,122,0:01:40,4,,
ID0369,07JAN15:12:48:58,Greg,Air Conditioner,Y,Y,52,0:04:06,5,,
ID0370,07JAN15:12:48:58,Martha,Fridge,Y,Y,33,0:04:26,4,,
ID0371,07JAN15:13:26:24,Joe,Toaster,Y,Y,123,0:02:24,3,,
ID0372,07JAN15:13:26:24,Greg,Air Conditioner,Y,Y,23,0:02:03,4,,
ID0374,07JAN15:13:30:43,Stewart,Fridge,Y,N,29,0:03:25,5,,
ID0376,07JAN15:13:42:14,Becky,Television,Y,Y,54,0:03:48,5,,
ID0377,07JAN15:13:45:07,Dan,Television,Y,Y,14,0:04:43,4,,
ID0378,07JAN15:13:45:07,Dan,Toaster,Y,Y,11,0:04:25,3,,
ID0379,07JAN15:14:31:12,Joe,Toaster,Y,Y,84,0:04:59,1,,
ID0380,07JAN15:14:31:12,Martha,Toaster,Y,Y,21,0:02:51,4,,
ID0381,07JAN15:15:53:17,Martha,Air Conditioner,Y,N,81,0:05:10,3,,
